"common_name","species_name","sp","habitat_specif","body_size","diet","nest","stratum","frugivory","insectivory","lower_stratum"
"Tataupa Tinamou","Crypturellus tataupa","Cryp_tata","generalist",264,"onivorous","open_semi","ground_under",0,50,100
"Brown Tinamou","Crypturellus obsoletus","Crypt_obsol","specialist",482,"insectivorous","open_semi","ground_under",0,50,100
"Small-billed Tinamou","Crypturellus parvirostris","Crypt_parvi","generalist",212,"onivorous","open_semi","ground_under",0,40,100
"Curl-crested Jay","Cyanocorax cristatellus","Cyan_crist","generalist",170.3,"onivorous","open_semi","mid_canopy",40,40,80
"Ultramarine Grosbeak","Cyanoloxia brissonii","Cyano_briss","generalist",23,"granivorous","open_semi","ground_under",70,20,100
"Rufous-browed Peppershrike","Cyclarhis gujanensis","Cyclar_guj","generalist",29.5,"insectivorous","open_semi","mid_canopy",0,100,40
"Blue Dacnis","Dacnis cayana","Dacnis_caya","generalist",13.3,"insectivorous","open_semi","mid_canopy",40,50,0
"Planalto Woodpcreeper","Dendrocolaptes platyrostris","Dend_platyros","specialist",61.9,"insectivorous","cavities","mid_canopy",0,80,100
"Pavonine Cucko","Dromococcyx pavoninus","Drom_pavoni","specialist",54,"insectivorous","closed","ground_under",0,100,100
"Scaled Antbird","Drymophila squamata","Dry_squamata","specialist",10.8,"insectivorous","open_semi","ground_under",0,100,80
"Ferrugineous Antbird","Drymophila ferruginea","Drym_ferruginea","specialist",10.2,"insectivorous","open_semi","ground_under",0,100,30
"Dusky-tailed Antbird","Drymophila malura","Drym_malura","specialist",12.2,"insectivorous","open_semi","ground_under",0,100,80
"Bertoni's Antbird","Drymophila rubricollis","Drym_rubricollis","specialist",21.4,"insectivorous","open_semi","ground_under",0,100,20
"Ochre-rumped Antbird","Drymophila ochropyga","Drym_uchro","specialist",16.3,"insectivorous","open_semi","ground_under",0,100,80
"Lineated Woodpecker","Dryocopus lineatus","Dryocop_lin","generalist",198.5,"insectivorous","cavities","all",10,80,40
"Plain Antvireo","Dysithamnus mentalis","Dysith_ment","specialist",14,"insectivorous","open_semi","ground_under",10,90,40
"Olivaceous Elaenia","Elaenia mesoleuca","Elaen_meso","generalist",17.75,"onivorous","open_semi","mid_canopy",50,50,20
"Yellow-bellied Elaenia","Elaenia flavogaster","Elaenia_flav","generalist",24.5,"onivorous","open_semi","mid_canopy",50,50,20
"Green-chinned Euphonia","Euphonia chalybea","Eup_chalibea","specialist",19,"frugivorous","closed","mid_canopy",90,10,50
"Golden-rumped Euphonia","Euphonia cyanocephala","Eup_cyanocephala","generalist",14,"frugivorous","closed","mid_canopy",100,0,20
"Swallow-tailed Hummingbird","Eupetomena macroura","Eupet_macroura","generalist",8.7,"nectarivorous","open_semi","all",0,10,0
"Violaceous euphonia","Euphonia violacea","Euph_violacea","generalist",14,"frugivorous","closed","mid_canopy",100,0,30
"Chestnut-bellied Euphonia","Euphonia pectoralis","Eupho_pectoralis","specialist",14.4,"frugivorous","closed","mid_canopy",70,20,0
"Purple-throated Euphonia","Euphonia chlorotica","Euphoni_chlo","generalist",11,"frugivorous","closed","mid_canopy",100,0,0
"Black Jacobin","Florisuga fusca","Floris_fusc","generalist",8.1,"nectarivorous","open_semi","all",0,10,30
"Blue-winged Parrotlet","Forpus xanthopterygius","For_xantopter","generalist",26,"frugivorous","cavities","mid_canopy",50,0,100
"Ruddy Quail-dove","Geotrygon montana","Geotry_montana","specialist",135,"frugivorous","open_semi","ground_under",30,20,100
"Violaceous Quail-dove","Geotrygon violacea","Geotry_vio","specialist",150,"frugivorous","open_semi","ground_under",40,10,100
"Variegated Antpitta","Grallaria varia","Gral_varia","specialist",121.5,"insectivorous","open_semi","ground_under",0,100,100
"Red-crowed Ant-tanager","Habia rubica","Habia_rubica","specialist",35.2,"insectivorous","open_semi","ground_under",20,80,40
"Stripe-breasted Starthroat","Heliomaster squamosus","Heliomaster squamosus","generalist",5,"nectarivorous","open_semi","ground_under",0,10,0
"Rufous-headed Tanager","Hemithraupis ruficapilla","Hemi_rufica","generalist",12,"insectivorous","open_semi","mid_canopy",20,80,0
"Guira Tanager","Hemithraupis guira","Hemithra_gui","generalist",12,"insectivorous","open_semi","mid_canopy",10,80,0
"Drab-breasted Pygmy-tyrant","Hemitriccus diops","Hemitr_dio","generalist",9.9,"insectivorous","closed","ground_under",0,100,100
"Large-billed Antwren","Herpsilochmus longirostris","Her_long","specialist",10.3,"insectivorous","open_semi","ground_under",0,100,30
"Rufous-winged Antwren","Herpsilochmus rufimarginatus","Herps_ruf","specialist",10.4,"insectivorous","open_semi","mid_canopy",10,90,0
"Rufous-crownd Greenlet","Hylophilus poicilotis","Hylo_poi","specialist",10,"insectivorous","open_semi","mid_canopy",30,70,20
"Grey-eyed Greenlet","Hylophilus amaurocephalus","Hylophi_amau","generalist",10,"insectivorous","open_semi","ground_under",20,60,30
"Spot-backed Antshrike","Hypoedaleus guttatus","Hypoed_gut","specialist",46,"insectivorous","open_semi","mid_canopy",0,90,0
"Red-crested Finch","Coryphospingus cucullatus","Lanio_cuccul","generalist",14.9,"granivorous","open_semi","ground_under",50,0,60
"Euler's Flycatcher","Lathrotriccus euleri","Lathro_eul","specialist",11,"insectivorous","open_semi","ground_under",0,100,100
"Piratic Flycatcher","Legatus leucophaius","Legatus_leu","generalist",24.5,"frugivorous","closed","mid_canopy",70,30,0
"Scaled Woodcreeper","Lepidocolaptes squamatus","Lepid_squa","specialist",27,"insectivorous","cavities","mid_canopy",0,100,0
"Sepia-capped Flycatcher","Leptopogon amaurocephalus","Lepto_amau","specialist",10.7,"insectivorous","closed","ground_under",20,80,50
"White-tipped Dove","Leptotila verreauxi","Lepto_verr","generalist",153,"granivorous","open_semi","ground_under",20,20,100
"Grey-fronted Dove","Leptotila rufaxilla","Leptot_ruf","specialist",155,"granivorous","open_semi","ground_under",10,10,100
"White-throated Hummingbird","Leucochloris albicollis","Leuco_albicol","generalist",6.5,"nectarivorous","open_semi","all",0,10,30
"Sharp-tailed Streamcreeper","Lochmias nematura","Loch_nem","specialist",23,"insectivorous","closed","ground_under",0,100,100
"Large-tailed Antshrike","Mackenziaena leachii","Mach_leachi","specialist",67.8,"insectivorous","open_semi","ground_under",0,60,80
"Tufted Antshrike","Mackenziaena severa","Mack_severa","specialist",51.3,"insectivorous","open_semi","ground_under",0,60,70
"Greater Crescent-chested Puffbird","Malacoptila striata","Malac_stri","specialist",44.1,"insectivorous","cavities","ground_under",0,100,100
"Boat-billed Flycatcher","Megarynchus pitangua","Megaryn_pit","generalist",66,"insectivorous","open_semi","mid_canopy",10,70,10
"Grey-hooded Flycatcher","Mionectes rufiventris","Mionec_ruf","specialist",13.3,"frugivorous","closed","ground_under",50,50,10
